network,component class,rated voltage [kV],quantity,symbol,unit,finite outputs,Analytical UQ ILSE median sigma,Analytical UQ NRSE median sigma,Monte Carlo UQ ILSE median sigma,Monte Carlo UQ NRSE median sigma,Pandapower MC WLS median sigma,NumPy gain inverse median sigma
CIGRE MV,Node,110.0,Voltage magnitude,sigma_|U|,V,1,21.213203435596427,30.0,31.10967835373563,31.10967835373536,31.10967835373552,30.0
CIGRE MV,Node,110.0,Active power,sigma_P,kW,1,289.8453127002298,408.1265851608085,415.3334971711966,414.2508181162828,397.2832688162159,408.17832141857787
CIGRE MV,Node,110.0,Reactive power,sigma_Q,kvar,1,291.45779969776686,405.8132979653234,418.41579973774026,418.33538111593174,417.7396936323838,405.8597933226669
CIGRE MV,Node,20.0,Voltage magnitude,sigma_|U|,V,14,15.198970186703736,21.91577494051948,22.019109958332415,21.745732511470635,21.30716603096078,21.959098459880423
CIGRE MV,Node,20.0,Active power,sigma_P,kW,13,22.83544056363371,28.953633669021002,29.494119547479162,28.69136997499337,28.063962282415268,28.95363657408637
CIGRE MV,Node,20.0,Reactive power,sigma_Q,kvar,13,22.835563154105575,13.589344980937549,15.267947524419103,13.687933490013283,14.024206224022505,13.589345040657408
CIGRE MV,Branch terminal,20.0,Current magnitude,sigma_|I|,A,24,0.4697835196436284,0.5590663669501337,0.6246469117563489,0.6026144877628533,0.595283566950139,0.6451009891172892
CIGRE MV,Branch terminal,20.0,Active power,sigma_P,kW,24,15.838957662012037,19.315966683488725,20.322370842559145,20.206817323775816,20.07066692819927,21.22110005842776
CIGRE MV,Branch terminal,20.0,Reactive power,sigma_Q,kvar,24,15.861571494076536,9.5395834967772,10.549477345020634,9.369258520547186,9.8000594481772,9.696854639751942
CIGRE LV,Node,20.0,Voltage magnitude,sigma_|U|,V,1,8.903846603444293,11.93679717072614,12.609957820808676,12.037984115193137,11.904008545224253,12.020380061165811
CIGRE LV,Node,20.0,Active power,sigma_P,kW,1,1.524829404680859,1.5329999501396165,1.610410568567782,1.5322121480738526,1.5302386572094568,1.7462254350920303
CIGRE LV,Node,20.0,Reactive power,sigma_Q,kvar,1,1.537922107614937,1.5217037550517956,1.5763488951911842,1.5212476237199337,1.5584902967409404,1.761232639137363
CIGRE LV,Node,0.4,Voltage magnitude,sigma_|U|,V,40,0.1842804054826411,0.2535117680869212,0.26748377838407267,0.25257361392666294,0.24695967415501185,0.25727022136913336
CIGRE LV,Node,0.4,Active power,sigma_P,kW,15,0.2173014036389716,0.22285001107902752,0.22474482167543425,0.22518739639390514,0.32467515566735383,0.2667162128795333
CIGRE LV,Node,0.4,Reactive power,sigma_Q,kvar,15,0.22281198860187662,0.22264266243883665,0.2246282148673893,0.2251987202998879,0.6237270570186553,0.2821100568940781
CIGRE LV,Branch terminal,20.0,Current magnitude,sigma_|I|,A,3,0.0285198230204999,0.0303893199732657,0.0319122462705424,0.0306937770870096,0.0306582684958991,0.0303945783068322
CIGRE LV,Branch terminal,20.0,Active power,sigma_P,kW,3,0.98565510608938,1.0084669161411859,1.0628395408144746,1.010235733999178,1.0107402304512727,1.008529361775243
CIGRE LV,Branch terminal,20.0,Reactive power,sigma_Q,kvar,3,0.9895894128752161,1.0137394868595113,1.0589626217279622,1.0121106093563115,1.0176855560075515,1.0137947852617843
CIGRE LV,Branch terminal,0.4,Current magnitude,sigma_|I|,A,77,0.3443992684508464,0.3481445153442279,0.3030648730804378,0.3038369963716367,0.2784057644422516,0.6226377253381425
CIGRE LV,Branch terminal,0.4,Active power,sigma_P,kW,77,0.21730140363897527,0.22285001107903216,0.19573643525840767,0.19327549161164528,0.27742189889872526,0.4043588002140477
CIGRE LV,Branch terminal,0.4,Reactive power,sigma_Q,kvar,77,0.2228119886018804,0.22264266243882724,0.22479597234647158,0.22535644065043064,0.5196224979042636,0.39549377960291127
IEEE 33,Node,12.66,Voltage magnitude,sigma_|U|,V,33,10.8387595176305,15.238967841992682,15.779140690901531,15.416096153925317,14.587209379703276,15.238967842023298
IEEE 33,Node,12.66,Active power,sigma_P,kW,33,19.915534835675803,23.47866690191527,25.67856533130878,23.38032619826413,24.268218997053413,23.47866690191007
IEEE 33,Node,12.66,Reactive power,sigma_Q,kvar,33,19.91629921999685,13.084697857321878,14.808153603504001,13.095071704700176,13.967822114596064,13.08469785732101
IEEE 33,Branch terminal,12.66,Current magnitude,sigma_|I|,A,64,0.7037444525303342,0.7489894747616714,0.7937930300473909,0.7557159596644808,0.7215157356097794,0.7489894747615474
IEEE 33,Branch terminal,12.66,Active power,sigma_P,kW,64,14.34351257256704,16.5957180805644,18.108624555268534,16.685369018141703,17.142452853376565,16.595718080562285
IEEE 33,Branch terminal,12.66,Reactive power,sigma_Q,kvar,64,14.37298796725019,9.363110787857837,10.531659365058124,9.434896556923892,9.893951949310697,9.363110787857408
MV Oberrhein,Node,110.0,Voltage magnitude,sigma_|U|,V,2,89.16623736378915,103.72362801374751,123.35562163117265,106.77778883513037,78.74413840699002,103.79952781687405
MV Oberrhein,Node,110.0,Active power,sigma_P,kW,2,21.697747300611365,19.27158810862105,19.23249235781756,19.20920681276137,17.643016556601584,24.973480843463438
MV Oberrhein,Node,110.0,Reactive power,sigma_Q,kvar,2,21.98353293374841,9.022683138512464,9.362614674959419,9.105345628425159,8.631305348052377,11.4099095766906
MV Oberrhein,Node,20.0,Voltage magnitude,sigma_|U|,V,177,12.27732733249191,16.16155274689793,17.85704933822612,16.107620769130765,13.35797278568412,16.167814716284056
MV Oberrhein,Node,20.0,Active power,sigma_P,kW,159,25.015373504249684,30.732328671308604,32.03142927759715,30.45094315719108,28.358032708902073,32.00009507226018
MV Oberrhein,Node,20.0,Reactive power,sigma_Q,kvar,159,25.01626000480882,13.963684979893447,14.540575544880916,13.756619389037647,13.95697110146736,14.075468228303336
MV Oberrhein,Branch terminal,20.0,Current magnitude,sigma_|I|,A,350,0.5114482685026591,0.6154216320236062,0.6475051303936776,0.6069161771860481,0.5813691976998192,0.6587467810109073
MV Oberrhein,Branch terminal,20.0,Active power,sigma_P,kW,350,17.5780509462216,21.101824736759355,22.190922097738238,20.797147387341955,20.162884370799823,22.751104045416383
MV Oberrhein,Branch terminal,20.0,Reactive power,sigma_Q,kvar,350,17.646801553491766,9.82222075344677,10.18478654346971,9.713955340178158,9.925379487637034,9.953061014485725
LV Schutterwald,Node,20.0,Voltage magnitude,sigma_|U|,V,14,7.071067811865651,9.999999809151634,10.0360905582437,10.036115584637766,10.036115285756003,10.000000000000433
LV Schutterwald,Node,20.0,Active power,sigma_P,kW,14,4.01193590890502,4.314695023826535,4.329652730213691,4.328197626150126,4.328190347168019,5.068254528490967
LV Schutterwald,Node,20.0,Reactive power,sigma_Q,kvar,14,4.011911945771165,4.285635865725561,4.350307186809631,4.3506446398512715,4.350645586351326,5.036847723320815
LV Schutterwald,Node,0.4,Voltage magnitude,sigma_|U|,V,2926,0.35318768718642735,0.41113036850679774,0.40844010763024563,0.40848377942409164,0.40848402699485786,0.45034819790476277
LV Schutterwald,Node,0.4,Active power,sigma_P,kW,1506,3.428827398839946,3.7268438173863627,3.759674978291418,3.7595825515731094,3.759582562994704,4.998324240695473
LV Schutterwald,Node,0.4,Reactive power,sigma_Q,kvar,1506,3.431070036158133,3.7278301925654325,3.7564131022012446,3.7563978695529086,3.7563978714581485,4.999981562933596
LV Schutterwald,Branch terminal,0.4,Current magnitude,sigma_|I|,A,2912,5.149846495876422,5.642568824341273,5.056982970428436,5.056619178783476,5.0566126332757975,7.88006248790999
LV Schutterwald,Branch terminal,0.4,Active power,sigma_P,kW,2913,3.2759435523627713,3.565994177371594,3.567967456582744,3.56801960330499,3.568019617259675,4.9987583402958915
LV Schutterwald,Branch terminal,0.4,Reactive power,sigma_Q,kvar,2913,3.2793760330273796,3.567409830200443,3.5805392264202442,3.580606883931146,3.58060688012444,4.999987402301166
