network,buses,zero-injection buses,zero-injection buses [%],method,Voltage magnitude median APE [%],Voltage magnitude finite pairs,Current magnitude median APE [%],Current magnitude finite pairs,Active power median APE [%],Active power finite pairs,Reactive power median APE [%],Reactive power finite pairs
CIGRE MV,15,1,6.666666666666667,Analytical ILSE,30.07423487626281,15,20.7994329897,24,21.673604825322435,38,68.32456008346072,38
CIGRE MV,15,1,6.666666666666667,Analytical NRSE,0.922233515700523,15,5.487347868929023,24,5.090923202896869,38,2.459370204481787,38
CIGRE MV,15,1,6.666666666666667,MC ILSE,1.2087399025119143,15,4.434302304145359,24,2.5571655528866994,38,8.10075131062677,38
CIGRE MV,15,1,6.666666666666667,Pandapower MC WLS,1.823828872002998,15,4.589991083427297,24,4.794872299079211,38,2.494239036804413,38
CIGRE MV,15,1,6.666666666666667,Gain inverse NumPy,1.1219708573166383,15,7.5007427326005205,24,6.518980002941715,38,3.028682063798346,38
CIGRE LV,41,25,60.97560975609756,Analytical ILSE,26.40458894757064,41,17.05077480725357,80,11.509929448042197,96,12.041802134084167,96
CIGRE LV,41,25,60.97560975609756,Analytical NRSE,0.5785206124816992,41,14.97428230905043,80,15.95425353978932,96,14.045987487268818,96
CIGRE LV,41,25,60.97560975609756,MC ILSE,5.526945521570713,41,2.8207795746721924,80,1.0646401773945717,96,0.7760803097323667,96
CIGRE LV,41,25,60.97560975609756,Pandapower MC WLS,2.0417247289233362,41,10.93722344637169,80,25.49536921507634,96,118.64022637076945,96
CIGRE LV,41,25,60.97560975609756,Gain inverse NumPy,1.6454683582090162,41,95.72634093554032,80,82.24859789562771,96,76.85235744486769,96
IEEE 33,33,0,0.0,Analytical ILSE,30.280687234892074,33,10.84374736263507,64,21.086482204416306,97,60.72703063931914,97
IEEE 33,33,0,0.0,Analytical NRSE,1.2004288328226866,33,3.056998463059345,64,1.8331251500515615,97,1.559739026812172,97
IEEE 33,33,0,0.0,MC ILSE,2.234867900180851,33,3.8248158517447344,64,2.72125998424889,97,10.488010160767406,97
IEEE 33,33,0,0.0,Pandapower MC WLS,5.442802294547716,33,3.763240013941158,64,7.852535931189645,97,6.467919738864635,97
IEEE 33,33,0,0.0,Gain inverse NumPy,1.2004288326239783,33,3.056998463060345,64,1.8331251500572818,97,1.5597390267917604,97
MV Oberrhein,179,18,10.05586592178771,Analytical ILSE,22.291035229429003,179,20.88201787372583,350,18.02105214283528,511,89.69318935753493,511
MV Oberrhein,179,18,10.05586592178771,Analytical NRSE,0.6281991314167783,179,2.9344455224383386,350,2.845800206136287,511,2.026653389688168,511
MV Oberrhein,179,18,10.05586592178771,MC ILSE,10.830716977611136,179,5.145178352460118,350,3.830447439855246,511,4.392304843694532,511
MV Oberrhein,179,18,10.05586592178771,Pandapower MC WLS,17.175175172585067,179,9.975670145645156,350,8.802963907232527,511,0.6943569615266636,511
MV Oberrhein,179,18,10.05586592178771,Gain inverse NumPy,0.6671862391470408,179,4.0331635160586945,350,4.287053950318693,511,2.936097141557179,511
LV Schutterwald,2940,1420,48.29931972789116,Analytical ILSE,14.073104332680312,2940,8.227763776427736,2912,8.407847524838113,4433,8.305679934766976,4433
LV Schutterwald,2940,1420,48.29931972789116,Analytical NRSE,1.471577933062494,2940,9.811291740139772,2912,1.5196126427016796,4433,1.5002952970137797,4433
LV Schutterwald,2940,1420,48.29931972789116,MC ILSE,0.011366439640666474,2940,0.006547763597117555,2912,0.004897230636238865,4433,0.002260556021989141,4433
LV Schutterwald,2940,1420,48.29931972789116,Pandapower MC WLS,0.00013489747515028092,2940,0.00014337730670532613,2912,1.8087115593418823e-07,4433,4.9238097495196096e-08,4433
LV Schutterwald,2940,1420,48.29931972789116,Gain inverse NumPy,8.995869771335837,2940,55.74419857786457,2912,36.15655734212522,4433,36.07859868005943,4433
