network,quantity,symbol,unit,method,finite outputs,attempted samples,method converged samples,common converged samples,sigma calibration samples,MCS [%],MWS,MWIS,standardized MWS,standardized MWIS,component class,rated voltage [kV]
CIGRE MV,Voltage magnitude,sigma_|U|,V,Analytical UQ ILSE,1,1000,1000,1000,0,49.8,42.42640687120729,100.11591675471676,1.3674555937074921,3.2268598847172494,Node,110.0
CIGRE MV,Voltage magnitude,sigma_|U|,V,Monte Carlo UQ ILSE,1,1000,1000,1000,1000,68.5,62.05160455146688,94.5260247323211,2.000000000000332,3.0466907476642273,Node,110.0
CIGRE MV,Voltage magnitude,sigma_|U|,V,Analytical UQ NRSE,1,1000,1000,1000,0,67.0,60.0,94.56907747812971,1.9338742465634193,3.048078390936929,Node,110.0
CIGRE MV,Voltage magnitude,sigma_|U|,V,Monte Carlo UQ NRSE,1,1000,1000,1000,1000,68.5,62.05160455146688,94.5260247323213,2.0000000000003206,3.0466907476642167,Node,110.0
CIGRE MV,Voltage magnitude,sigma_|U|,V,Gain inverse NumPy,1,1000,1000,1000,1,67.0,60.0,94.56907747812971,1.9338742465634193,3.048078390936929,Node,110.0
CIGRE MV,Active power,sigma_P,kW,Analytical UQ ILSE,1,1000,1000,1000,0,50.1,579.6344537226003,1334.553442234872,1.4239649604269073,3.2785444815346327,Node,110.0
CIGRE MV,Active power,sigma_P,kW,Monte Carlo UQ ILSE,1,1000,1000,1000,1000,67.2,814.1133663132042,1262.1374102308437,1.999999999999996,3.10064288944563,Node,110.0
CIGRE MV,Active power,sigma_P,kW,Analytical UQ NRSE,1,1000,1000,1000,0,67.7,815.5176316047864,1258.9078029519835,2.005466577711923,3.095822120084414,Node,110.0
CIGRE MV,Active power,sigma_P,kW,Monte Carlo UQ NRSE,1,1000,1000,1000,1000,67.5,813.2946623675227,1258.9487661578491,1.999999999999996,3.095922854068691,Node,110.0
CIGRE MV,Active power,sigma_P,kW,Gain inverse NumPy,1,1000,1000,1000,1,67.60000000000001,815.6614013369978,1258.8970859553642,2.0058201266502445,3.0957957655609794,Node,110.0
CIGRE MV,Reactive power,sigma_Q,kvar,Analytical UQ ILSE,1,1000,1000,1000,0,52.400000000000006,583.0059679626881,1343.2688198638982,1.4277228385984206,3.2895299154460345,Node,110.0
CIGRE MV,Reactive power,sigma_Q,kvar,Monte Carlo UQ ILSE,1,1000,1000,1000,1000,66.9,816.6934816774647,1282.7762426482434,2.0000000000000013,3.1413896925281173,Node,110.0
CIGRE MV,Reactive power,sigma_Q,kvar,Analytical UQ NRSE,1,1000,1000,1000,0,66.7,811.6116153372371,1282.79055650456,1.9898710827422308,3.1450853898173916,Node,110.0
CIGRE MV,Reactive power,sigma_Q,kvar,Monte Carlo UQ NRSE,1,1000,1000,1000,1000,67.10000000000001,815.7429115646627,1282.6166304707033,2.0000000000000013,3.1446589661699633,Node,110.0
CIGRE MV,Reactive power,sigma_Q,kvar,Gain inverse NumPy,1,1000,1000,1000,1,66.7,811.7045942683102,1282.7883641192013,1.9900990441005333,3.1450800146303624,Node,110.0
CIGRE MV,Voltage magnitude,sigma_|U|,V,Analytical UQ ILSE,14,1000,1000,1000,0,51.12142857142856,32.9812378248681,76.53570710385974,1.3941607922537804,3.235266141865829,Node,20.0
CIGRE MV,Voltage magnitude,sigma_|U|,V,Monte Carlo UQ ILSE,14,1000,1000,1000,1000,67.84285714285714,47.31339169501631,72.82851408021546,2.000000000000035,3.078558161700677,Node,20.0
CIGRE MV,Voltage magnitude,sigma_|U|,V,Analytical UQ NRSE,14,1000,1000,1000,0,67.40714285714287,46.963927874277154,72.11183287691175,1.994241006655995,3.062102781803891,Node,20.0
CIGRE MV,Voltage magnitude,sigma_|U|,V,Monte Carlo UQ NRSE,14,1000,1000,1000,1000,67.70000000000002,47.09955087427287,72.12964380557675,2.0000000000000187,3.0628590917191403,Node,20.0
CIGRE MV,Voltage magnitude,sigma_|U|,V,Gain inverse NumPy,14,1000,1000,1000,1,67.47142857142858,47.03168545589558,72.11067097885172,1.9971182137783856,3.0620534438361835,Node,20.0
