network,quantity,symbol,method,finite outputs,attempted samples,method converged samples,common converged samples,sigma calibration samples,MCS [%],standardized MWS,standardized MWIS,component class
CIGRE MV,Voltage magnitude,sigma_|U|,Analytical UQ ILSE,15,1000,1000,1000,0,51.03333333333333,1.3918733667870056,3.2345461065270693,Node
CIGRE MV,Voltage magnitude,sigma_|U|,Monte Carlo UQ ILSE,15,1000,1000,1000,1000,67.88666666666666,2.0000000000000604,3.075828568273356,Node
CIGRE MV,Voltage magnitude,sigma_|U|,Analytical UQ NRSE,15,1000,1000,1000,0,67.38000000000002,1.9890488538508768,3.0608965421404024,Node
CIGRE MV,Voltage magnitude,sigma_|U|,Monte Carlo UQ NRSE,15,1000,1000,1000,1000,67.75333333333332,2.0000000000000444,3.061468450366016,Node
CIGRE MV,Voltage magnitude,sigma_|U|,Gain inverse NumPy,15,1000,1000,1000,1,67.44000000000001,1.9916785920183573,3.0608514477376474,Node
CIGRE MV,Active power,sigma_P,Analytical UQ ILSE,14,1000,1000,1000,0,54.142857142857146,1.427166165403415,3.218809664204684,Node
CIGRE MV,Active power,sigma_P,Monte Carlo UQ ILSE,14,1000,1000,1000,1000,68.11428571428573,1.9999999999999962,3.0694755032571726,Node
CIGRE MV,Active power,sigma_P,Analytical UQ NRSE,14,1000,1000,1000,0,66.41428571428571,1.9845284288259408,3.0712769292873485,Node
CIGRE MV,Active power,sigma_P,Monte Carlo UQ NRSE,14,1000,1000,1000,1000,67.96428571428572,1.999999999999998,3.0690775305231837,Node
CIGRE MV,Active power,sigma_P,Gain inverse NumPy,14,1000,1000,1000,1,66.75714285714285,1.9916778275343339,3.072216717673075,Node
CIGRE MV,Reactive power,sigma_Q,Analytical UQ ILSE,14,1000,1000,1000,0,80.24285714285718,1.6662028089675003,3.313330251425714,Node
CIGRE MV,Reactive power,sigma_Q,Monte Carlo UQ ILSE,14,1000,1000,1000,1000,68.39285714285714,2.0,3.139246411736182,Node
CIGRE MV,Reactive power,sigma_Q,Analytical UQ NRSE,14,1000,1000,1000,0,68.62857142857142,2.0054803609660414,3.1358349535290935,Node
CIGRE MV,Reactive power,sigma_Q,Monte Carlo UQ NRSE,14,1000,1000,1000,1000,68.28571428571429,1.9999999999999996,3.1360439684609682,Node
CIGRE MV,Reactive power,sigma_Q,Gain inverse NumPy,14,1000,1000,1000,1,69.06428571428572,2.0091293977722664,3.135821749671625,Node
CIGRE MV,Current magnitude,sigma_|I|,Analytical UQ ILSE,27,1000,1000,1000,0,55.18148148148148,1.5209874663945913,3.169690105418205,Branch terminal
